12;1;1.85;6.97;6.9;98.24;10.92;29.18;29.97;449.25
9;0;10;3.96;-0.61;70.2;17.96;29.12;29.91;3165.5
9;0.04;10;2.99;-1.34;71.04;10.57;29.37;30.17;2637
8;1;10;21.6;17.14;72.8;11.84;29.53;30.33;710.25
7;1;10;2.75;0.7;85.4;6.64;29.37;30.17;680.5
6;0;10;20.08;17.37;86.04;8.04;29.26;30.05;273.95
13;0;10;26.22;9.53;32.68;19.68;28.85;29.63;4692
10;0.53;10;30.03;24.38;69.92;9.48;29.09;29.88;3000
14;0.73;10;25.62;16.38;55.28;17.2;28.97;29.76;3040.5
7;0.45;7.97;10.1;8.58;88.27;10.18;29.1;29.89;297.75
10;0;10;20.94;10.2;49.96;3.96;29.55;30.35;3481.25
17;0.14;10;31.03;21.62;54.56;7.4;29.36;30.16;1913.5
17;0;10;26.77;12.52;38.8;0.96;29.17;29.96;1115.5
14;0.99;10;18.91;12.68;66.12;12.6;29.21;30;1166.25
15;0.92;10;14.27;12.51;83.96;6.64;28.92;29.7;1068.5
8;0.43;10;23.35;16.43;65.6;10.32;29.11;29.9;784
14;0;10;30.46;11.92;30.4;9.72;29.25;30.04;4069.5
9;0;10;26;11.9;38.36;11.16;29.25;30.04;3056
17;0;10;9.81;-0.8;45.36;12.32;29.24;30.03;205.63
9;0.96;10;27.64;22.48;72.39;9.8;29.11;29.9;836.25
10;0;10;20.15;2.15;28.96;9.36;29.39;30.19;3422
6;0;8.84;21.34;18.84;87.44;5.48;28.98;29.77;351
8;1;3.2;15.15;14.8;96.84;6.08;29.09;29.88;547.5
17;0.11;6.48;5.73;4.58;27.4;11.67;10.03;29.95;182.5
9;0;10;19.56;11.18;58.36;7.6;29.46;30.26;2790.5
14;0.28;10;25.89;7.49;30.28;18.16;29.18;29.97;4632.75
16;1;10;25.96;17.35;58.36;8.52;29.27;30.06;996
14;0;10;16.12;6.28;51.08;5.16;29.61;30.41;3642.75
7;1;8.04;0.86;-0.29;88.72;7.36;29.33;30.12;41.45
6;0;8.92;-6.49;-6.87;91.68;4.16;29.3;30.09;0
14;0.58;10;29.91;14.02;33.41;7.94;29.4;30.2;4083.25
6;1;10;0.71;-1.22;84.56;12.59;29.05;29.85;5.8
17;0.96;10;0.74;-1.68;79;7.28;29.51;30.31;0
13;0.83;10;6.82;-0.67;58.32;24.72;29.08;29.87;2360
15;0;10;0.91;-18.01;22.32;7.28;29.64;30.44;1597.75
16;0.16;10;7.61;-7.05;34.2;22.64;29.25;30.04;332
12;0.62;10;29.09;21.84;61.72;6;29.19;29.98;4488
14;0.58;10;28.62;21.95;67;8.53;29.14;29.93;3872.75
8;1;2.81;1.54;1.02;95.23;6.22;28.96;29.75;215.25
13;1;8.08;0.04;-0.7;90.4;24.52;28.96;29.75;491.25
8;1;6.92;1.23;-0.13;88.47;9.08;29.3;30.1;221.25
12;0.44;10;31.05;19.7;49.28;4.28;29.34;30.13;4112
14;0.63;10;32.74;21.28;49.24;14.28;29.29;30.08;3622.25
17;0.14;10;19.69;17.24;85.08;7.36;29.15;29.94;280.5
13;0.39;10;28.8;15.83;45.88;22.16;28.82;29.6;2590.25
10;0.02;10;26.03;17.38;21.38;12.4;8.53;30.07;0
14;0.99;4.77;5.8;4.59;89.89;16.65;29.18;29.97;644.25
14;1;10;5.7;3.29;79.96;18.28;28.78;29.56;340.5
15;1;10;-4.42;-11.23;57.34;16.69;29.12;29.91;78.7
16;0;10;31.69;15.83;36.6;16.16;29.17;29.96;2959.5
11;1;10;12.99;9.22;79.88;8.4;29.18;29.97;838
9;0.14;10;28.99;13.74;37.08;0;29.27;30.06;3002.75
14;0.82;10;24.88;15.65;57.04;7.8;29.2;29.99;3492
10;0;10;25.21;13.89;48.2;4.36;29.23;30.02;3904.5
9;0.99;10;20.44;13.88;71.65;13.12;29.02;29.81;878.75
11;0.28;10;25.9;16.29;54.48;15.28;29.22;30.01;1061.5
8;0.02;10;26.14;23.38;82.24;5.4;29.1;29.89;1356.5
17;0;10;25.26;17.41;57.72;4.68;29.24;30.03;358.75
6;0;10;20.3;11.09;54.44;8.96;29.09;29.88;286.5
6;1;10;2.32;-1.39;72.76;24.32;29.34;30.13;0.85
6;0;10;14.73;13.79;88.92;6.4;29.43;30.23;47.03
11;0;10;28.14;8.53;28.8;20.12;28.93;29.72;4418.25
8;0.97;9.04;8.11;7.41;95.72;21.2;28.88;29.67;504.5
16;1;7.36;18.66;18.04;91.68;14.08;29.08;29.87;299.25
8;0;10;-9.36;-12.72;73.04;18.64;29.32;30.12;1221
15;1;10;17.66;13.37;73.24;7.76;29.23;30.02;300.75
7;0.14;10;20.39;17.47;83.24;0.96;29.12;29.91;726.5
13;1;8.08;5.61;4.45;88.88;13.8;29.08;29.87;727
13;0.41;10;31.81;22.39;56.24;8.59;29.27;30.06;4323.75
17;0;10;23.34;12.76;50.8;3.88;29.34;30.14;1275.5
8;1;3.72;23.83;23.33;95.79;11.07;28.92;29.7;213.75
11;0;9.96;-11.32;-17.62;58;4.4;29.91;30.72;2863.75
17;1;10;12.77;6.38;65.72;10.2;29.41;30.21;114.03
13;1;9.96;17.54;13.86;77.88;14.6;28.9;29.68;2011.5
12;1;10;4.78;0.5;73.76;13.68;29.14;29.93;854.25
7;0;10;16.87;15.36;87;0;29.3;30.09;549.5
6;0.53;1.75;9.87;9.8;99.58;6.28;29.26;30.06;155.6
8;0.52;10;10;6.81;75.8;2.08;29.39;30.19;1006.75
12;0.76;10;6.02;-0.14;63.52;3.8;29.36;30.16;2792
9;0;10;6.79;-3.04;48.92;9.48;29.57;30.37;3572.75
11;0.28;10;28.35;15.62;40.12;10.76;29.18;29.97;2175.25
16;1;10;3.77;0;75.64;8.28;29.16;29.95;126.78
16;0.35;9.81;14.67;8.99;38.85;6.89;15.96;30.06;1732.5
10;0.7;10;11.24;3.4;61.96;10.76;29.4;30.2;2659.5
17;0;10;27.22;20.6;63;8;29.19;30.01;1503.5
6;0;10;11.54;9.08;82.88;7.04;29.16;29.95;0
8;0;10;19.36;15.17;76.64;5.36;29.36;30.16;1874.25
