8,29,2,2016,0.45921
8,4,3,2016,0.36741
8,26,4,2016,0.29488
8,5,5,2016,0.93624
8,6,5,2016,0.1185
8,9,5,2016,0.18151
8,28,5,2016,0.033568
8,6,7,2016,0.63086
8,15,7,2016,0.14948
8,18,7,2016,0.18641
8,21,7,2016,0.90432
8,7,8,2016,0.57663
8,9,8,2016,0.081276
8,8,9,2016,9.2459
8,16,9,2016,0.16696
8,29,9,2016,0.50354
8,1,10,2016,0.74587
8,11,10,2016,0.20286
8,23,10,2016,0.043297
8,22,11,2016,0.30273
8,10,1,2017,1.8508
8,12,1,2017,2.3709
8,18,1,2017,0.67627
8,21,1,2017,0.21661
8,27,1,2017,0.69105
8,28,1,2017,1.3004
8,7,2,2017,0.1234
8,9,2,2017,5.6969
8,11,2,2017,0.82896
8,12,3,2017,0.77245
8,19,3,2017,0.23993
8,21,3,2017,0.9356
8,23,3,2017,1.5888
8,9,4,2017,0.5385
8,15,4,2017,0.1754
8,16,4,2017,0.33681
8,23,4,2017,0.39207
8,30,4,2017,0.24821
8,3,5,2017,0.39924
8,18,5,2017,0.018876
8,1,6,2017,0.30294
8,8,6,2017,0.048225
8,12,6,2017,0.27821
8,13,6,2017,0.30415
8,17,6,2017,2.2041
8,18,6,2017,2.4479
8,20,6,2017,2.157
8,22,6,2017,1.4624
8,14,7,2017,0.26345
8,21,7,2017,0.15142
8,5,8,2017,0.29848
8,11,8,2017,0.2089
8,17,8,2017,0.32946
8,21,8,2017,0.52166
8,29,8,2017,0.55014
8,4,9,2017,0.26947
8,6,9,2017,0.28818
8,18,9,2017,0.67297
8,2,10,2017,1.0792
8,15,10,2017,9.1677
